1,32,0.020833,0.020833
1,64,0.041667,0.041667
1,96,0.062500,0.062500
1,128,0.083333,0.083333
1,160,0.104167,0.104167
1,192,0.125000,0.125000
1,224,0.145833,0.145833
1,256,0.166667,0.166667
1,288,0.187500,0.187500
1,320,0.208333,0.208333
1,352,0.229167,0.229167
1,384,0.250000,0.250000
1,416,0.270833,0.270833
1,448,0.291667,0.291667
1,480,0.312500,0.312500
1,512,0.333333,0.333333
1,544,0.354167,0.354167
1,576,0.375000,0.375000
1,608,0.395833,0.395833
1,640,0.416667,0.416667
1,672,0.437500,0.437500
1,704,0.458333,0.458333
1,736,0.479167,0.479167
1,768,0.500000,0.500000
1,800,0.520833,0.520833
1,832,0.541667,0.541667
1,864,0.562500,0.562500
1,896,0.583333,0.583333
1,928,0.604167,0.604167
1,960,0.625000,0.625000
1,992,0.645833,0.645833
1,1024,0.666667,0.666667
2,32,0.041667,0.041667
2,64,0.083333,0.083333
2,96,0.125000,0.125000
2,128,0.166667,0.166667
2,160,0.208333,0.208333
2,192,0.250000,0.250000
2,224,0.291667,0.291667
2,256,0.333333,0.333333
2,288,0.375000,0.375000
2,320,0.416667,0.416667
2,352,0.458333,0.458333
2,384,0.500000,0.500000
2,416,0.541667,0.541667
2,448,0.583333,0.583333
2,480,0.625000,0.625000
2,512,0.666667,0.666667
2,544,0.708333,0.708333
2,576,0.750000,0.750000
2,608,0.791667,0.791667
2,640,0.833333,0.833333
2,672,0.875000,0.875000
2,704,0.916667,0.916667
2,736,0.958333,0.958333
2,768,1.000000,1.000000
2,800,0.520833,0.520833
2,832,0.541667,0.541667
2,864,0.562500,0.562500
2,896,0.583333,0.583333
2,928,0.604167,0.604167
2,960,0.625000,0.625000
2,992,0.645833,0.645833
2,1024,0.666667,0.666667
3,32,0.062500,0.062500
3,64,0.125000,0.125000
3,96,0.187500,0.187500
3,128,0.250000,0.250000
3,160,0.312500,0.312500
3,192,0.375000,0.375000
3,224,0.437500,0.437500
3,256,0.500000,0.500000
3,288,0.562500,0.562500
3,320,0.625000,0.625000
3,352,0.687500,0.687500
3,384,0.750000,0.750000
3,416,0.812500,0.812500
3,448,0.875000,0.875000
3,480,0.937500,0.937500
3,512,1.000000,1.000000
3,544,0.708333,0.708333
3,576,0.750000,0.750000
3,608,0.791667,0.791667
3,640,0.833333,0.833333
3,672,0.875000,0.875000
3,704,0.916667,0.916667
3,736,0.958333,0.958333
3,768,1.000000,1.000000
3,800,0.520833,0.520833
3,832,0.541667,0.541667
3,864,0.562500,0.562500
3,896,0.583333,0.583333
3,928,0.604167,0.604167
3,960,0.625000,0.625000
3,992,0.645833,0.645833
3,1024,0.666667,0.666667
4,32,0.083333,0.083333
4,64,0.166667,0.166667
4,96,0.250000,0.250000
4,128,0.333333,0.333333
4,160,0.416667,0.416667
4,192,0.500000,0.500000
4,224,0.583333,0.583333
4,256,0.666667,0.666667
4,288,0.750000,0.750000
4,320,0.833333,0.833333
4,352,0.916667,0.916667
4,384,1.000000,1.000000
4,416,0.812500,0.812500
4,448,0.875000,0.875000
4,480,0.937500,0.937500
4,512,1.000000,1.000000
4,544,0.708333,0.708333
4,576,0.750000,0.750000
4,608,0.791667,0.791667
4,640,0.833333,0.833333
4,672,0.875000,0.875000
4,704,0.916667,0.916667
4,736,0.958333,0.958333
4,768,1.000000,1.000000
4,800,0.520833,0.520833
4,832,0.541667,0.541667
4,864,0.562500,0.562500
4,896,0.583333,0.583333
4,928,0.604167,0.604167
4,960,0.625000,0.625000
4,992,0.645833,0.645833
4,1024,0.666667,0.666667
5,32,0.104167,0.104167
5,64,0.208333,0.208333
5,96,0.312500,0.312500
5,128,0.416667,0.416667
5,160,0.520833,0.520833
5,192,0.625000,0.625000
