1,1,5600000,5600000,5.953888,22.724833,56.020794,224.083176
2,2,11200000,5600000,12.039936,46.250561,114.965027,229.930054
3,3,16800000,5600000,17.989023,69.707298,156.319504,208.426010
4,4,22400000,5600000,23.789503,95.055069,163.867416,163.867416
5,5,28000000,5600000,29.983360,115.884064,176.823303,141.458633
6,6,33600000,5600000,36.209312,139.145767,183.907791,122.605194
10,10,56000000,5600000,63.631554,249.516541,193.793457,77.517387
15,15,84000000,5600000,89.886078,359.136444,202.069122,53.885098
20,20,112000000,5600000,127.128860,498.935730,206.198929,41.239788
25,25,140000000,5600000,159.531998,619.311829,207.806290,33.249004
30,30,168000000,5600000,218.047256,704.310852,218.869980,29.182665
32,32,179200000,5600000,198.834534,776.711365,210.994949,26.374369
